sqft,beds,baths,age,lot,garage,neighborhood,dist_city,price
1522,2,2,3,2818,2,A,14.15,345428
1234,2,3,5,3860,1,B,10.91,262459
1523,2,1,0,4320,0,A,4.97,367278
1704,3,4,8,6544,0,C,2.83,288897
1606,3,2,0,5942,2,A,6.62,388322
653,3,2,8,5409,0,D,7.93,144922
948,2,3,37,3306,1,D,12.78,138138
1998,2,2,8,6327,0,D,13.9,270764
1109,4,3,12,8173,0,E,16.87,165836
826,1,1,36,6651,0,D,12.73,109934
1841,4,4,9,6988,0,E,8.82,234823
1221,3,4,7,9990,2,D,12.26,210480
1604,3,3,5,7810,1,D,4.94,260632
1988,3,3,53,6987,0,B,10.21,313132
1936,1,1,17,5278,0,B,7.29,317731
1066,3,3,8,5013,2,B,13.27,248183
1286,3,3,11,5617,1,B,5.79,276245
1564,2,2,50,6384,1,E,11.92,166049
843,4,4,0,4284,1,D,12.78,172800
1446,2,2,29,4347,1,A,6.32,318770
1264,3,3,17,4277,1,E,14.37,161211
1811,3,4,14,8862,1,B,14.08,358730
1278,1,1,0,6744,1,C,7.1,219694
1741,2,1,3,3172,0,A,12.56,390317
889,2,2,5,4292,2,B,12.37,204228
1073,4,5,2,8820,1,C,7.27,237952
1176,3,2,48,6972,2,E,5.79,142030
2469,3,4,7,3274,0,B,13.28,430904
2172,4,3,23,5083,2,B,3.28,398014
1115,2,2,19,2475,0,A,17.49,260873
1735,2,2,17,2912,1,D,11.64,233894
1166,3,4,50,6847,0,E,19.79,141187
1234,4,4,0,4140,0,D,13.07,214800
1974,5,6,17,3795,1,A,16.15,472478
1211,3,3,10,3916,1,B,10.72,257270
1972,4,4,1,6816,1,E,12.5,248788
1464,2,2,33,6437,0,A,11.44,321675
1256,2,2,16,5077,2,A,3.04,309793
551,3,4,0,3510,0,D,12.74,138453
1133,1,2,52,6430,1,B,12.79,181930
2466,2,2,27,4098,1,C,8.3,340880
2173,3,2,5,4284,1,D,1.79,309979
1179,4,4,13,6566,1,A,4.8,330076
1652,4,4,5,2717,1,E,4.82,225829
2859,3,2,22,4314,2,C,4.8,399361
1536,2,2,44,5741,0,E,25.55,151095
1174,4,4,3,5866,2,C,24.6,225577
1718,3,3,2,1299,0,A,1.43,414132
1508,4,4,15,5103,0,B,15.3,296505
1286,3,3,19,4679,2,C,17.88,222791
1183,3,3,58,2432,2,A,8.68,233130
2259,3,3,7,2927,2,A,13.36,494507
2250,3,4,8,7983,1,C,4.45,366737
1949,4,4,5,357,0,D,11.71,279761
306,4,4,5,3366,1,D,14.09,118261
1917,3,2,69,4152,1,E,9.64,178915
1773,1,1,29,4614,1,D,7.29,222501
1037,2,2,43,3995,2,C,3.37,157748
879,4,3,3,4698,2,E,1.16,150963
1530,3,3,13,3611,2,B,6.81,289495
1758,3,3,5,5290,2,A,16.53,415928
858,5,4,43,3400,0,C,17.76,172143
1939,3,2,37,2350,1,A,16.08,379180
2166,5,5,24,5476,0,A,15.57,492029
1759,3,4,4,8782,0,B,2.82,360332
1290,3,2,1,7289,0,B,8.69,286678
1149,2,2,19,3732,0,E,14.71,139766
1046,3,4,11,9056,1,D,1.72,206201
1823,3,3,3,4365,2,E,8.0,237146
1429,3,3,26,7109,2,B,10.97,270888
1688,3,4,6,4335,1,A,6.77,404793
1902,4,4,1,4666,1,A,9.9,459919
1274,5,5,10,6600,0,C,3.43,273573
1240,2,3,36,5150,2,B,12.67,219785
1057,3,3,27,204,1,B,8.06,210970
2832,5,4,4,7706,1,E,5.17,331014
2301,3,2,0,6848,2,A,9.22,513109
1738,5,5,8,3035,2,D,11.95,273609
2719,5,5,5,7696,1,C,21.18,434906
1685,2,1,7,200,0,B,5.05,309464
1929,4,4,17,7078,1,C,16.26,323212
1171,4,4,3,7969,1,D,12.97,211477
1531,4,4,0,6712,1,E,3.7,226348
1815,2,2,12,5639,2,E,9.2,216566
1584,4,4,16,6094,1,E,14.3,211514
1561,5,4,5,1162,2,B,5.44,329236
647,4,4,0,4481,1,B,13.36,211175
1615,3,4,14,8139,2,A,17.12,381203
2326,2,2,22,5219,1,C,7.56,330289
1171,4,5,5,5151,0,E,11.77,173648
1367,4,3,18,3582,2,C,13.38,242244
1523,3,4,20,4990,2,B,11.28,305606
1048,3,3,55,6366,2,C,5.02,169456
2079,3,4,45,3910,2,B,20.52,332032
1143,2,3,14,5656,2,E,14.47,155124
881,2,2,47,1519,0,C,8.23,136677
1465,3,3,34,4641,0,B,0.36,274245
762,3,3,22,4773,0,C,8.98,158233
1039,3,3,17,6465,0,A,10.12,289592
1415,2,1,40,3691,0,D,13.51,175336
1046,3,3,1,3466,2,A,4.74,295555
925,3,3,8,8944,2,B,3.11,228146
1355,5,5,6,5924,1,E,14.06,196115
1293,3,3,14,3101,1,D,7.79,201731
1093,2,1,17,3696,0,B,9.86,207892
926,3,3,6,6440,2,A,13.6,266344
1583,4,4,10,5087,1,A,5.7,392184
2353,4,4,27,5213,0,A,14.06,509088
1553,4,4,10,3955,2,A,9.7,396161
957,2,3,4,8623,2,D,6.88,181811
1461,3,2,14,6370,0,A,7.78,347653
1277,4,3,55,6351,2,C,13.55,192930
1097,2,2,11,7920,2,D,2.79,180825
1612,3,3,15,2705,0,B,7.7,308994
1784,2,2,3,2893,1,E,11.68,212538
1624,3,4,40,2351,1,E,11.16,188295
1137,3,2,30,4886,1,C,10.19,201937
1443,2,2,11,3157,2,E,4.87,173687
2141,1,1,8,4586,1,D,10.47,287103
466,1,1,21,1817,1,B,11.36,100536
1540,3,3,23,2717,2,E,3.21,193605
1613,5,5,3,2545,1,E,12.83,219147
1003,3,3,4,4844,0,E,1.74,160574
903,5,6,8,3818,0,C,6.07,226996
1863,3,3,4,7764,0,E,7.15,231043
1794,3,3,9,3135,1,C,9.59,284434
2706,3,4,12,6347,1,E,8.37,308716
2061,4,4,41,2000,0,A,17.9,420083
2343,3,2,7,4642,1,D,0.25,321725
2354,4,3,14,7920,2,C,10.97,382385
2575,2,2,34,4854,2,C,16.71,353178
1862,4,4,15,5874,1,B,7.0,357910
1198,2,2,13,4230,1,B,9.53,232293
1104,2,1,73,6675,0,C,21.04,139933
1090,4,3,1,2472,2,E,17.22,174732
697,4,4,34,4817,1,B,1.02,175044
1355,3,4,3,5054,1,D,11.01,227804
2218,3,3,8,4654,1,B,17.39,395851
1325,3,3,2,4762,0,D,12.88,229043
1806,2,3,1,3342,2,A,11.95,413482
1748,4,3,29,3276,2,E,2.05,210222
1192,3,3,89,5334,0,A,13.92,208787
1014,3,2,0,6371,0,B,14.83,232640
1774,4,3,14,5171,0,E,12.57,216969
997,3,2,18,3465,2,C,6.84,196904
1000,4,4,78,5743,0,B,0.93,178109
1664,4,4,12,7956,0,E,8.58,225827
2213,3,3,45,4124,2,A,18.55,434010
1021,2,2,50,7025,0,A,6.67,222258
1526,4,4,14,3628,1,B,18.71,301335
2106,3,3,9,4919,0,B,5.39,382473
1649,3,2,8,1486,1,C,3.73,269920
1717,3,2,55,5784,0,C,10.0,241623
847,3,3,13,4509,2,E,9.81,126890
1120,3,3,31,5332,0,B,3.62,237035
966,5,4,61,3349,0,B,3.17,185640
1299,4,3,37,2111,2,E,11.25,151735
1712,2,3,30,200,2,A,1.2,349168
1756,3,4,10,3062,0,C,7.63,285950
1216,3,3,41,5404,0,C,15.12,197957
944,2,3,16,3810,2,D,14.48,162680
1306,3,3,32,4743,0,C,20.33,204790
1030,3,4,29,5611,1,E,5.46,153462
1135,4,4,36,4597,2,C,21.42,193166
938,3,4,13,5215,0,A,11.23,265705
1875,3,3,7,4759,1,B,6.14,351075
1500,5,5,23,8384,1,D,13.59,258414
1082,2,3,32,5240,2,D,10.78,168565
1556,2,3,36,7838,2,B,7.67,284926
2080,3,3,69,6820,1,D,10.05,244194
1546,3,4,3,9126,1,D,10.58,257734
1504,4,5,2,5738,0,E,2.38,217533
1477,4,3,11,3500,0,D,9.44,231766
2439,3,2,16,6017,1,A,10.31,514280
1705,2,2,14,8098,1,B,0.3,332042
1908,3,2,6,2744,2,D,9.44,273454
1016,2,2,7,7863,0,C,0.44,203808
1641,3,3,12,722,0,D,8.58,250980
1368,3,3,9,5930,0,E,11.98,179581
2056,3,3,23,6899,1,B,7.79,360145
935,4,5,49,6095,0,E,7.14,134090
2316,3,3,6,5843,1,D,9.72,330754
1652,3,3,13,1976,1,E,16.41,199694
1502,3,3,22,215,2,E,16.59,186963
1297,3,3,29,7386,1,A,3.47,316116
2076,2,2,5,6798,0,D,10.82,285940
1550,3,4,91,3767,0,E,23.39,139957
1412,3,3,10,4071,0,D,16.84,215817
1688,2,1,26,4421,1,C,3.82,252247
1919,3,3,1,2806,0,D,0.84,288561
1175,4,4,0,4595,0,C,15.15,230653
1519,1,1,41,6520,0,E,5.01,154924
2317,2,2,24,5417,2,A,10.82,472814
1719,3,3,25,2776,0,E,12.37,193323
1811,4,3,1,6473,2,A,9.07,439311
870,4,4,15,3608,2,D,18.3,166969
1537,2,2,26,8071,1,E,9.47,177574
1545,2,2,4,6053,1,D,7.8,231367
1437,2,2,49,6534,1,C,12.62,210636
2173,4,5,5,5367,2,B,12.76,417985
1760,5,6,8,1736,2,C,10.18,319381
1630,3,3,0,8180,1,D,8.85,254436
1558,3,2,5,3442,2,A,11.91,379420
1793,3,3,6,4795,0,A,8.34,430695
1666,3,3,34,6031,0,E,10.24,199018
447,4,3,17,10001,1,C,6.32,141316
1512,3,3,25,4636,2,D,10.09,218166
1414,3,3,28,6586,1,D,17.69,205840
1486,2,1,7,8107,2,B,12.83,284565
1668,3,3,10,2959,1,A,8.49,387184
1195,4,5,14,4053,1,E,13.82,173368
1390,4,5,0,7523,1,A,11.03,380623
590,5,6,12,5164,1,E,9.65,139288
720,3,2,18,5524,0,A,16.17,210124
1630,2,2,37,2865,2,B,4.94,269508
1588,3,3,25,8451,1,E,9.47,196439
1013,4,4,44,6531,2,B,18.54,202629
2422,1,1,1,3916,1,E,9.52,260470
1310,3,3,48,4682,0,C,12.2,192070
1639,3,4,9,5376,1,D,1.29,262265
1353,4,4,22,4351,1,B,6.32,284383
1645,3,3,1,6150,1,D,14.01,260183
1513,2,2,13,7223,0,E,4.42,191518
1220,2,1,3,7705,0,A,6.49,318204
1305,3,3,21,6602,1,B,13.7,267719
2059,5,6,14,4811,0,D,19.36,305243
1053,2,2,50,6455,0,A,14.17,211736
911,2,2,2,7594,1,B,0.25,233241
1123,3,4,33,5462,1,B,19.68,214577
1030,2,1,22,862,0,C,13.54,173473
716,3,3,8,6614,1,B,11.99,201242
1421,3,3,2,5979,2,C,13.29,266104
1926,3,4,85,2946,1,C,19.05,228391
1586,2,2,24,6657,0,A,14.12,350122
897,3,3,21,4537,1,C,5.76,179675
1214,5,6,25,8049,1,B,3.52,276415
2341,4,4,7,6962,1,B,10.9,434981
753,4,4,86,7652,1,D,7.5,99396
1389,4,3,43,5356,2,A,1.08,311069
1940,3,3,27,7570,1,C,3.03,312584
1117,2,2,31,5926,1,D,3.39,167662
487,5,5,36,4246,1,D,0.23,120988
1774,2,3,56,4390,0,A,13.25,338437
1209,2,3,13,3500,0,A,10.53,288323
724,5,5,1,4689,2,B,12.48,230637
1773,3,3,13,2841,0,E,20.85,208094
1555,3,3,10,2410,0,B,12.95,298792
1403,2,1,3,6804,0,A,9.56,344849
1822,3,3,52,5093,2,A,6.75,369391
2005,2,3,1,2288,2,C,24.46,314960
2412,3,4,16,5142,2,C,7.19,362344
1001,4,4,6,4637,1,A,10.74,296752
1647,2,2,32,3415,0,E,8.42,172568
1759,2,3,32,6157,2,D,15.23,243105
1328,3,3,23,4150,2,C,13.62,216551
1467,2,2,13,9373,2,B,1.0,284485
1630,2,1,11,3128,2,A,7.54,357221
2003,4,4,12,2332,1,C,8.9,323598
2117,2,2,25,4274,1,B,15.26,351101
370,4,4,33,4317,0,D,1.87,96296
958,2,2,10,1224,0,E,10.0,132923
1686,4,4,18,5994,0,E,12.11,225467
708,3,3,15,2438,1,A,11.89,213010
1516,2,1,14,200,0,B,1.55,275388
2014,1,1,21,2007,2,B,9.18,327939
1461,3,3,35,4478,2,B,12.27,265049
1582,3,3,11,5081,1,E,0.72,201731
1699,3,4,1,5492,0,B,1.2,351643
1268,2,1,0,5828,0,D,5.95,210217
1728,1,2,10,5728,1,E,16.87,197847
1272,3,2,36,3138,0,C,6.31,198222
1583,2,2,6,3551,0,B,18.73,302937
1426,5,6,73,3420,1,B,12.77,247896
653,4,5,19,7274,1,A,3.88,250751
1583,3,3,1,7375,0,B,13.71,325740
1208,2,2,109,4077,1,C,7.43,104831
1546,1,2,11,3098,2,C,12.2,232581
522,4,3,4,3451,1,D,2.01,144843
1584,2,2,6,4395,1,B,10.63,296948
2441,3,4,82,2295,1,D,3.68,264183
2033,3,2,5,2927,2,B,0.23,369129
1442,3,4,16,6532,1,C,19.69,245959
1083,5,5,23,5146,0,D,11.77,198030
1052,5,5,12,3344,0,D,4.88,208780
1548,3,3,6,3258,1,A,6.35,370440
1570,4,4,19,2494,2,C,13.81,273216
2044,3,2,14,3608,0,B,14.53,354037
2120,3,3,8,2877,0,E,9.57,259648
2473,2,1,8,1344,0,E,5.01,262555
2468,4,3,26,2263,1,C,11.17,364083
1660,1,1,14,4408,1,B,22.97,279741
1439,4,4,46,5719,0,A,3.8,321078
771,5,5,11,6170,1,C,2.87,204288
798,5,4,4,2789,2,C,15.22,198851
1528,4,4,0,4593,0,A,10.99,407300
1361,2,3,8,5831,0,D,9.94,216410
1024,2,2,6,2569,1,B,17.07,205961
2433,2,2,16,4727,1,A,8.27,494744
1886,3,4,21,3239,1,D,18.28,255028
1445,2,1,65,5770,2,E,11.64,131089
820,3,4,11,3274,0,E,10.57,134442
892,4,4,18,2180,2,E,7.02,132564
875,5,6,21,5674,2,A,13.39,282092
911,5,4,12,7119,1,C,14.82,202646
1288,4,5,7,1079,2,A,2.69,340686
1271,5,5,7,2654,0,D,11.69,227234
1332,3,3,57,9337,1,E,3.55,155149
1686,1,1,56,5145,2,A,7.18,296060
1207,3,3,58,6031,0,B,3.73,208980
1326,3,4,118,1731,1,C,6.62,133067
2197,2,2,0,6044,2,C,7.99,346213
1859,2,2,33,5602,2,C,6.76,270568
957,2,2,41,5121,0,D,4.49,149870
1664,4,4,22,3532,2,B,11.15,323988
2182,3,3,2,7055,0,A,9.65,506212
2109,2,2,13,4047,0,E,14.6,233956
767,3,3,0,6113,0,A,8.63,267987
1453,5,6,5,2668,0,D,10.33,253777
1722,3,2,19,6668,0,D,21.85,238130
1533,2,1,44,5296,2,B,11.51,256000
1654,3,3,0,5906,1,C,11.83,288151
663,3,3,29,4428,2,C,11.89,141439
1796,5,4,32,5510,0,E,11.27,227744
1747,4,4,17,2408,2,B,6.94,337503
1486,2,2,2,6559,0,C,12.32,261945
1252,4,4,6,3066,1,B,0.54,281861
1804,3,3,24,6856,0,C,14.23,293676
1907,4,4,110,4250,1,A,18.9,299759
513,4,5,11,7718,1,D,13.46,145638
1616,2,1,3,5970,0,C,6.82,260032
2029,4,4,14,4367,0,C,8.68,326376
1450,2,2,39,1385,0,A,0.62,293275
1909,2,3,58,2802,2,E,10.97,189684
1745,3,3,13,7908,1,E,3.02,216954
2163,3,3,7,5519,0,C,14.49,351965
1396,2,2,23,232,0,D,10.31,189081
745,3,3,3,4489,0,C,13.78,183393
1837,3,3,2,6525,1,C,9.94,308605
2104,4,4,6,5976,2,E,2.2,260027
1237,5,4,0,4633,1,E,1.87,194578
1883,3,2,40,6426,2,C,18.29,266590
913,1,1,34,5718,1,E,4.62,119428
2435,4,5,57,4430,2,A,16.02,470190
1889,3,2,3,5597,0,C,8.26,309553
1974,3,3,8,3224,0,B,8.01,360529
2623,2,2,4,6469,1,D,24.59,343913
1724,4,5,39,4776,1,E,10.82,214067
2154,2,1,6,2788,0,C,1.9,327940
1806,5,5,31,6075,0,A,7.35,426511
1679,2,2,0,2969,2,E,7.12,206097
1164,3,3,3,5690,1,A,6.17,328962
1605,2,2,32,3677,2,D,2.88,217955
1049,2,2,13,5847,0,E,17.48,150916
1070,2,2,40,6368,0,C,9.48,179379
1312,1,1,16,6735,2,E,12.54,149729
695,3,2,12,2340,1,A,0.12,225015
1380,4,4,8,8230,2,A,2.78,369394
931,4,4,2,2761,0,E,6.69,166458
1155,2,2,16,5851,0,D,21.57,180876
955,2,2,13,6282,1,D,11.97,156135
1523,5,5,41,9067,1,D,9.56,246604
2413,1,1,9,3993,0,A,0.6,490394
1068,3,2,8,6497,2,E,10.26,165038
1680,3,4,7,6388,1,D,5.13,265889
1439,4,4,7,200,0,B,3.78,301863
1835,2,2,6,6848,0,E,7.73,229136
1290,2,3,33,5332,1,A,6.92,299592
1711,2,2,11,7855,1,A,3.36,394038
2154,3,3,0,3655,2,E,11.08,260572
2568,3,2,54,6331,0,C,7.89,339696
1226,1,1,11,3968,1,E,16.67,143793
1571,1,1,14,1620,1,A,23.19,324575
1432,5,5,39,3571,1,B,14.31,287021
892,3,2,19,4229,2,D,0.5,160964
1360,2,1,45,8223,2,E,0.71,146738
1039,3,3,8,3867,2,E,11.47,149288
1816,4,4,4,3297,2,E,8.23,226577
1420,3,2,33,241,2,C,14.17,211939
300,5,6,11,4012,0,A,13.59,199913
1475,2,3,8,3553,2,A,15.67,351809
1887,5,6,102,634,0,E,12.88,167378
1036,4,3,36,6971,1,E,17.79,131638
1274,2,2,11,6340,1,E,13.35,157857
2185,4,5,25,3917,2,A,9.86,475393
2071,2,1,23,3876,1,D,12.66,267092
1740,4,4,0,2723,0,B,13.31,344812
1257,4,5,8,6073,0,A,5.85,358574
2152,4,4,7,6068,0,E,18.95,273127
705,4,4,3,3559,0,D,10.28,161013
1700,3,4,27,6006,1,A,13.92,389463
1664,2,2,8,7212,2,D,4.54,241501
2024,4,5,12,5600,0,A,14.62,463707
1925,4,4,13,2881,2,D,4.21,282748
1356,5,4,1,1498,1,B,16.41,294511
319,3,2,24,2906,2,D,14.32,84998
1619,3,2,53,2533,1,A,5.3,321433
1356,3,4,1,7168,1,B,10.27,305242
300,3,2,30,3119,1,E,10.65,63538
300,3,2,3,2051,0,E,1.16,96516
1068,5,4,6,7864,1,C,10.28,238636
782,1,1,29,6195,2,A,15.57,193583
1640,2,2,3,4413,1,B,8.62,317506
1605,4,4,20,200,2,A,16.07,369026
1705,2,2,41,1488,2,B,2.74,278245
1544,1,1,16,3443,0,C,8.68,230400
804,4,4,41,3999,2,C,7.16,165056
1504,2,2,41,6280,2,C,7.14,225520
1454,2,2,10,2592,2,E,7.19,180384
1508,5,5,31,5368,1,A,2.47,370237
828,2,2,73,6144,1,E,12.72,89394
2247,2,3,2,4546,1,C,11.74,352253
1417,2,2,40,7316,0,B,10.31,238025
950,2,3,19,6133,2,A,7.87,256279
2261,2,2,12,286,2,A,3.91,469215
2537,3,2,8,4147,2,E,1.07,280455
811,4,5,26,4160,0,B,15.76,202056
2637,4,5,34,3038,2,B,10.59,445346
1318,4,4,0,6787,2,A,4.01,368219
1642,1,1,8,2543,1,C,6.83,253270
2312,3,3,22,4429,2,C,7.19,347096
2332,4,3,7,8206,0,A,8.84,521948
1098,2,3,73,6933,0,D,4.13,139301
1682,2,2,4,5318,1,A,8.58,379775
1887,3,3,3,7612,2,B,14.2,370129
886,3,3,0,5376,1,D,6.1,187268
315,2,2,2,6584,2,C,14.9,124279
737,3,2,52,7645,2,B,6.35,146399
1573,1,2,12,3427,2,D,10.45,221026
1030,3,4,22,3341,2,A,1.69,275170
1833,3,3,26,6666,1,B,8.11,342484
972,5,4,42,3705,2,B,11.64,205518
897,3,2,113,4944,2,C,14.19,82432
2036,5,6,13,7925,0,C,0.65,362872
1914,4,4,34,5170,0,B,1.06,354007
1352,1,1,17,5653,0,D,9.54,192161
1583,2,2,4,5282,1,C,19.22,260518
2626,2,1,0,1712,0,D,8.6,345899
1356,4,3,4,10712,2,C,3.99,272142
2066,3,2,8,7599,1,D,12.9,296253
1993,4,3,13,3050,1,C,18.87,308429
1288,3,3,35,6706,2,C,7.04,219751
1161,4,4,12,7304,2,D,15.83,216715
2111,3,3,60,5513,1,E,6.78,207148
1270,5,5,4,3639,0,E,9.0,199150
1622,3,3,23,5448,0,E,3.12,210072
1144,3,3,6,4568,0,C,3.28,220089
1529,5,4,79,10531,1,C,12.95,225747
2102,2,2,28,6293,1,B,2.82,361757
1243,5,6,7,2433,0,A,1.49,363903
2485,3,3,5,2708,2,A,7.31,533977
1978,3,4,12,4849,2,D,0.58,299785
1350,2,2,3,4856,2,B,19.19,274649
2218,3,2,24,3528,2,E,9.8,241375
1388,3,3,10,2738,0,A,13.44,330473
1789,3,2,13,3604,0,E,3.78,222114
1184,4,4,36,4690,1,D,4.6,184992
1341,5,5,109,4869,1,E,14.63,121151
2047,5,5,3,8527,1,C,12.58,367413
836,4,3,25,8668,2,E,7.42,145986
1481,3,2,66,7442,0,E,11.41,151971
2240,3,3,47,1721,2,B,12.26,346847
787,3,3,9,2466,2,E,22.36,114338
1183,4,4,10,6305,2,E,7.43,175384
1983,2,2,0,5678,0,E,7.11,236761
1397,2,2,15,4115,0,B,7.83,266588
1674,3,4,12,6020,0,A,12.57,406901
1697,2,2,55,4697,2,E,12.88,168816
1353,4,4,5,4814,2,D,13.13,228025
965,2,3,19,8931,1,D,4.19,181470
1959,4,4,34,3974,1,A,11.49,418129
2042,3,3,6,5269,2,A,8.43,464765
933,3,4,0,7034,1,B,15.39,244248
1119,1,1,31,4964,2,C,10.26,172096
300,3,3,7,4331,0,B,8.0,139219
1306,3,2,32,4453,1,D,1.84,202500
1763,2,2,4,6297,2,B,13.86,322691
1277,3,3,2,1964,0,B,17.58,267383
1166,2,2,33,2737,1,B,8.07,202454
